q;i1;i2;s1;s2;s3;v1;v2;rt1;rt2;st1;st2;sl1;sl2;tan1;tan2;y;m
100;3;8;5400;5400;0;7,894736842105263;7,894736842105263;38;38;0;0;0;0;0;0;1;73,48469228349535
102;4;8;3875;4500;0;8,823529411764707;7,894736842105263;34;38;0;0;0;0;0;0;0,98;62,38479506768821
104;4;8;2975;3600;0;8,823529411764707;7,894736842105263;34;38;0;0;0;0;0;0;0,96;54,697921858489785
106;4;8;1775;2400;0;8,823529411764707;7,894736842105263;34;38;0;0;0;0;0;0;0,94;42,330398718148814
108;4;8;875;1500;0;8,823529411764707;7,894736842105263;34;38;0;0;0;0;0;0;0,92;29,864069642924665
110;4;8;313;600;0;8,823529411764707;7,894736842105263;34;38;0;0;0;0;0;0;0,9;18,162121452007046
112;4;8;925;300;0;8,823529411764707;7,894736842105263;34;38;0;0;0;0;0;0;0,88;30,68978096431212
114;4;8;1825;1200;0;8,823529411764707;7,894736842105263;34;38;0;0;0;0;0;0;0,86;42,916927378803045
116;4;8;2926;1800;0;10;7,894736842105263;30;38;0;0;0;0;0;0;0,84;54,7214047056907
118;4;8;3826;2700;0;10;7,894736842105263;30;38;0;0;0;0;0;0;0,82;62,40538544840492
120;4;8;4426;3300;0;10;7,894736842105263;30;38;0;0;0;0;0;0;0,8;67,0405260492785
122;5;8;3674;4800;0;10;7,894736842105263;30;38;0;0;0;0;0;0;0,78;61,1754209872232
124;5;8;2774;3900;0;10;7,894736842105263;30;38;0;0;0;0;0;0;0,76;53,314464575422576
126;5;8;1874;3000;0;10;7,894736842105263;30;38;0;0;0;0;0;0;0,74;44,07303181043924
128;5;8;872;2100;0;10,714285714285714;7,894736842105263;28;38;0;0;0;0;0;0;0,72;31,304150776576165
130;5;8;768;1500;0;10,714285714285714;7,894736842105263;28;38;0;0;0;0;0;0;0,7;29,59645005473822
132;5;8;1052;600;0;10,714285714285714;7,894736842105263;28;38;0;0;0;0;0;0;0,68;34,05803658231951
134;5;8;1534;0;0;10,714285714285714;7,894736842105263;28;38;0;0;0;0;0;0;0,66;40,52098044029307
136;5;8;2434;900;0;10,714285714285714;7,894736842105263;28;38;0;0;0;0;0;0;0,64;50,417753379564765
138;5;8;3376;1500;0;12;7,894736842105263;25;38;0;0;0;0;0;0;0,62;59,68126327077509
140;5;8;3976;2100;0;12;7,894736842105263;25;38;0;0;0;0;0;0;0,6;64,51242659825755
142;6;8;2924;4800;0;12;7,894736842105263;25;38;0;0;0;0;0;0;0,58;55,766057647959734
144;6;8;2024;3900;0;12;7,894736842105263;25;38;0;0;0;0;0;0;0,56;47,00907556627303
146;6;8;1480;3300;0;12;7,894736842105263;25;38;0;0;0;0;0;0;0,54;40,81486476267645
148;6;8;1150;2700;0;12,5;7,894736842105263;24;38;0;0;0;0;0;0;0,52;36,975781922137394
150;6;8;1084;2100;0;12,5;7,894736842105263;24;38;0;0;0;0;0;0;0,5;36,07226703096802
152;6;8;1298;1200;0;12,5;7,894736842105263;24;38;0;0;0;0;0;0;0,48;38,92567852656473
154;6;8;1648;600;0;12,5;7,894736842105263;24;38;0;0;0;0;0;0;0,46;43,188059099170715
156;6;8;2164;0;0;12,5;7,894736842105263;24;38;0;0;0;0;0;0;0,44;48,79762749103139
158;6;8;2764;600;0;12,5;7,894736842105263;24;38;0;0;0;0;0;0;0,42;54,60044366810093
160;6;8;3364;1200;0;12,5;7,894736842105263;24;38;0;0;0;0;0;0;0,4;59,843198851276846
166;6;8;2197;3000;0;6,976744186046512;7,894736842105263;43;38;0;0;0;0;0;0;0,34;47,14703289197082
168;6;8;2497;3300;0;6,976744186046512;7,894736842105263;43;38;0;0;0;0;0;0;0,32;50,22790768603225
170;6;8;3097;3900;0;6,976744186046512;7,894736842105263;43;38;0;0;0;0;0;0;0,3;55,882400722558245
172;7;8;2603;1800;0;6,976744186046512;7,894736842105263;43;38;0;0;0;0;0;0;0,28;51,27224113023126
174;7;8;2003;1200;0;6,976744186046512;7,894736842105263;43;38;0;0;0;0;0;0;0,26;45,04267654698795
176;7;8;1403;600;0;6,976744186046512;7,894736842105263;43;38;0;0;0;0;0;0;0,24;37,80003585337688
178;7;8;803;0;0;6,976744186046512;7,894736842105263;43;38;0;0;0;0;0;0;0,22;28,78962852342103
180;7;8;427;600;0;6,976744186046512;7,894736842105263;43;38;0;0;0;0;0;0;0,2;21,28010128069361
182;7;8;900;900;0;7,894736842105263;7,894736842105263;38;38;0;0;0;0;0;0;0,18;30
184;7;8;1500;1500;0;7,894736842105263;7,894736842105263;38;38;0;0;0;0;0;0;0,16;38,72983346207417
186;7;8;2100;2100;0;7,894736842105263;7,894736842105263;38;38;0;0;0;0;0;0;0,14;45,8257569495584
188;7;8;2400;2400;0;7,894736842105263;7,894736842105263;38;38;0;0;0;0;0;0;0,12;48,98979485566356
